contentId,recommendedContentId,similarityScore
-6451309518266745024,-4110354420726924665,1.0
-6451309518266745024,3353902017498793780,0.866
-6451309518266745024,1485652648052127324,0.5735
-6451309518266745024,5274322067107287523,0.5615
-6451309518266745024,3067875254349597654,0.4721
-4110354420726924665,-4110354420726924665,1.0
-4110354420726924665,3353902017498793780,0.866
-4110354420726924665,1485652648052127324,0.5735
-4110354420726924665,5274322067107287523,0.5615
-4110354420726924665,3067875254349597654,0.4721
-7292285110016212249,1220948775534529013,0.1454
-7292285110016212249,-2489051066377567114,0.1088
-7292285110016212249,8926283897590637985,0.086
-7292285110016212249,7845570490247450966,0.0817
-7292285110016212249,8631616594020837056,0.0682
-6151852268067518688,8298709454703868984,0.3051
-6151852268067518688,8596997246990922861,0.278
-6151852268067518688,4877833951599818487,0.2747
-6151852268067518688,4563606877148407012,0.2728
-6151852268067518688,-7586203274767893481,0.2608
2448026894306402386,1266958185239582088,0.3533
2448026894306402386,-692972306229904743,0.3199
2448026894306402386,-2273517184910006534,0.3089
2448026894306402386,6419848550542384295,0.2942
2448026894306402386,2916072977192006313,0.292
-2826566343807132236,-3528088210002754978,0.2625
-2826566343807132236,-6725796505137573953,0.254
-2826566343807132236,4463025528374352465,0.2538
-2826566343807132236,-4374331682165863764,0.2527
-2826566343807132236,-6249065792190816357,0.2342
-2148899391355011268,-205193648629294862,0.4795
-2148899391355011268,2727743992157210358,0.3696
-2148899391355011268,5929055844564382383,0.3354
-2148899391355011268,-1868297195590431285,0.3217
-2148899391355011268,-2273517184910006534,0.3147
4119190424078847945,4463025528374352465,0.3241
4119190424078847945,2916072977192006313,0.3002
4119190424078847945,5410603488837817052,0.2869
4119190424078847945,1266958185239582088,0.277
4119190424078847945,-1480913447590268358,0.2507
-7926018713416777892,1266958185239582088,0.339
-7926018713416777892,-1868297195590431285,0.2973
-7926018713416777892,2900029983899283273,0.2649
-7926018713416777892,2255603060224026824,0.252
-7926018713416777892,-3810375613673461625,0.2508
3353902017498793780,-6451309518266745024,0.866
3353902017498793780,-4110354420726924665,0.866
3353902017498793780,1485652648052127324,0.5755
3353902017498793780,5274322067107287523,0.543
3353902017498793780,-6713697716910928909,0.4615
-9157338616628196758,2617330491231854367,0.5113
-9157338616628196758,123378787151399958,0.4095
-9157338616628196758,1012456848389051365,0.4075
-9157338616628196758,-5082274522455747241,0.407
-9157338616628196758,-5843518165523212471,0.3979
1805789466376069146,5199666313044493096,0.5673
1805789466376069146,-2081760549863309770,0.4612
1805789466376069146,-4864344772765973009,0.3682
1805789466376069146,-1249436522568155938,0.3572
1805789466376069146,-8858741052589364245,0.3551
-2081760549863309770,1805789466376069146,0.4612
-2081760549863309770,5199666313044493096,0.3105
-2081760549863309770,5062670850994683718,0.2734
-2081760549863309770,5619251370090681244,0.2049
-2081760549863309770,-847494979958007433,0.1557
-5170198873410718233,6873454157736399518,0.1285
-5170198873410718233,7963184191158282052,0.0981
-5170198873410718233,5934557073194045393,0.0891
-5170198873410718233,2639926854188906104,0.0669
-5170198873410718233,8494390949377713372,0.0666
-3367778232969996503,9178250635927683,0.1962
-3367778232969996503,-8239286201029609369,0.1707
-3367778232969996503,4774970687540378081,0.1704
-3367778232969996503,4644672909721737325,0.1703
-3367778232969996503,-7033990154815318757,0.1695
4988225165850707692,8736111317960965711,0.3322
4988225165850707692,7664140604181040222,0.2346
4988225165850707692,-5973686110278905367,0.1945
4988225165850707692,-3537777320523757545,0.1832
4988225165850707692,4671890082953295903,0.1511
-5917314377186856799,6157037646878010131,0.5248
-5917314377186856799,-1669098707776725430,0.2934
-5917314377186856799,-5636731245639685654,0.2801
-5917314377186856799,1120323498091467525,0.2432
-5917314377186856799,-7565625515044903967,0.2398
6157037646878010131,-5917314377186856799,0.5248
6157037646878010131,-5636731245639685654,0.4581
6157037646878010131,-1669098707776725430,0.4567
6157037646878010131,-7565625515044903967,0.4446
6157037646878010131,270443693434886127,0.4023
6023609667389715259,3611701510490148233,0.3749
6023609667389715259,-6035458164887182128,0.3566
6023609667389715259,-6451309518266745024,0.3151
6023609667389715259,-4110354420726924665,0.3151
6023609667389715259,3353902017498793780,0.2999
7905485530310717815,-7358932766266901263,0.21
7905485530310717815,-7358932766266901263,0.21
7905485530310717815,8550670510357310628,0.21
7905485530310717815,-4374331682165863764,0.2066
7905485530310717815,-6725796505137573953,0.175
8194079557551008273,1266958185239582088,0.2602
